GRE Score,TOEFL Score,University Rating,SOP,LOR ,GPA,Research,Chance of Admit
295,96,2,4.9,1.7,2.93,0,0.612
340,119,3,4.1,1.7,3.76,0,0.708
336,96,1,3.2,1.8,3.12,1,0.728
337,108,4,3.4,1.3,2.11,0,0.643
323,98,1,1.1,1.3,3.4,0,0.524
302,110,2,4.3,1.7,3.89,0,0.663
335,112,3,1.5,3.0,3.16,0,0.667
332,115,2,2.2,1.3,2.21,1,0.718
330,110,2,2.9,4.7,3.17,0,0.657
296,107,2,1.5,3.2,3.42,0,0.614
308,120,5,1.3,4.6,2.49,0,0.672
317,96,1,1.9,2.4,3.22,1,0.719
301,118,4,5.0,2.8,3.49,1,0.875
327,100,3,4.3,3.6,3.58,1,0.873
325,99,3,1.8,3.9,2.05,1,0.689
331,116,2,3.0,3.7,3.31,1,0.871
305,107,4,4.6,3.3,2.13,1,0.795
323,111,5,4.4,2.6,3.39,0,0.73
315,96,1,2.7,3.4,3.85,1,0.778
327,101,2,4.4,1.6,3.36,1,0.814
308,103,3,3.6,2.6,2.75,1,0.745
338,99,2,2.2,2.7,3.88,0,0.65
313,117,4,3.5,2.2,2.19,0,0.64
296,120,5,2.1,3.7,2.89,0,0.697
316,107,4,2.6,2.9,3.2,0,0.693
324,100,1,3.0,4.6,4.0,0,0.704
300,112,2,1.6,4.5,3.21,1,0.802
337,107,2,2.2,4.1,2.23,1,0.752
337,98,4,2.6,2.6,2.62,1,0.768
328,99,4,3.9,4.5,2.65,1,0.842
339,104,5,4.8,4.7,2.75,0,0.758
337,116,2,2.0,3.7,3.68,0,0.603
325,101,5,2.0,1.4,3.16,1,0.802
327,103,3,3.4,2.4,3.08,0,0.659
306,108,4,1.1,2.5,2.74,1,0.769
337,93,2,4.6,3.0,2.77,1,0.717
333,100,5,3.6,3.7,2.61,1,0.864
340,102,1,3.3,2.6,2.84,1,0.708
323,114,5,1.7,3.4,3.32,0,0.666
304,98,4,2.6,3.4,2.13,1,0.778
327,93,5,3.3,2.2,3.8,0,0.657
296,109,1,1.1,4.5,2.42,1,0.716
322,97,1,1.3,4.0,3.56,1,0.728
305,101,2,3.3,1.2,3.3,1,0.796
